,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.167,0.467,0.262,0.348,0.444,0.222,0.168,0.103,0.163,0.230,0.335,0.232
1,0.062,1.000,0.190,0.316,0.169,0.057,0.272,0.231,0.171,0.222,0.312,0.226,0.190
2,0.439,0.296,1.000,0.407,0.400,0.334,0.297,0.206,0.135,0.189,0.368,0.413,0.324
3,0.194,0.358,0.380,1.000,0.302,0.193,0.258,0.220,0.175,0.210,0.416,0.462,0.367
4,0.289,0.209,0.389,0.304,1.000,0.220,0.279,0.181,0.119,0.197,0.267,0.338,0.237
5,0.445,0.166,0.360,0.269,0.272,1.000,0.182,0.157,0.105,0.168,0.227,0.320,0.228
6,0.114,0.276,0.230,0.247,0.253,0.088,1.000,0.184,0.142,0.193,0.268,0.202,0.155
7,0.062,0.231,0.132,0.194,0.146,0.053,0.181,1.000,0.224,0.264,0.211,0.168,0.135
8,0.032,0.170,0.079,0.147,0.091,0.030,0.138,0.223,1.000,0.212,0.147,0.103,0.081
9,0.057,0.222,0.118,0.183,0.157,0.054,0.189,0.264,0.212,1.000,0.189,0.158,0.124
10,0.153,0.336,0.327,0.414,0.260,0.145,0.273,0.227,0.164,0.205,1.000,0.374,0.315
11,0.288,0.293,0.407,0.470,0.338,0.269,0.229,0.217,0.143,0.209,0.390,1.000,0.468
12,0.190,0.233,0.314,0.369,0.237,0.182,0.170,0.165,0.105,0.154,0.322,0.467,1.000
