,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.293,0.344,0.400,0.383,0.343,0.402,0.194,0.288,0.237,0.314,0.229,0.222
1,0.243,1.000,0.596,0.403,0.268,0.361,0.359,0.301,0.340,0.326,0.419,0.424,0.444
2,0.310,0.601,1.000,0.523,0.335,0.416,0.416,0.295,0.388,0.322,0.467,0.437,0.407
3,0.391,0.432,0.536,1.000,0.461,0.548,0.508,0.288,0.433,0.316,0.379,0.343,0.297
4,0.380,0.297,0.351,0.463,1.000,0.433,0.408,0.277,0.407,0.306,0.351,0.301,0.280
5,0.335,0.385,0.425,0.548,0.432,1.000,0.535,0.293,0.374,0.288,0.369,0.372,0.330
6,0.388,0.377,0.422,0.508,0.404,0.535,1.000,0.323,0.406,0.334,0.367,0.330,0.341
7,0.143,0.299,0.284,0.250,0.230,0.257,0.291,1.000,0.342,0.353,0.284,0.321,0.333
8,0.256,0.342,0.388,0.420,0.385,0.364,0.399,0.353,1.000,0.426,0.384,0.325,0.307
9,0.189,0.325,0.317,0.288,0.268,0.264,0.312,0.355,0.421,1.000,0.306,0.310,0.297
10,0.274,0.420,0.467,0.364,0.328,0.356,0.358,0.291,0.384,0.308,1.000,0.504,0.489
11,0.186,0.424,0.431,0.316,0.268,0.345,0.311,0.323,0.322,0.310,0.501,1.000,0.564
12,0.169,0.441,0.396,0.264,0.238,0.296,0.311,0.333,0.300,0.297,0.481,0.562,1.000
