,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.232,0.268,0.312,0.258,0.156,0.152,0.329,0.205,0.251,0.240,0.329,0.220
1,0.182,1.000,0.404,0.342,0.248,0.216,0.186,0.202,0.254,0.201,0.231,0.219,0.293
2,0.226,0.406,1.000,0.478,0.305,0.215,0.195,0.235,0.297,0.263,0.257,0.283,0.324
3,0.286,0.353,0.483,1.000,0.313,0.185,0.190,0.263,0.236,0.278,0.260,0.294,0.287
4,0.242,0.259,0.311,0.314,1.000,0.230,0.201,0.372,0.276,0.309,0.248,0.278,0.276
5,0.093,0.209,0.201,0.161,0.194,1.000,0.297,0.135,0.286,0.166,0.130,0.119,0.214
6,0.089,0.180,0.182,0.164,0.168,0.297,1.000,0.122,0.216,0.157,0.119,0.107,0.196
7,0.326,0.233,0.256,0.272,0.381,0.193,0.177,1.000,0.268,0.328,0.244,0.314,0.237
8,0.169,0.255,0.297,0.232,0.269,0.301,0.228,0.241,1.000,0.271,0.196,0.198,0.261
9,0.233,0.209,0.267,0.278,0.309,0.195,0.186,0.319,0.277,1.000,0.223,0.240,0.221
10,0.224,0.241,0.261,0.260,0.248,0.152,0.141,0.238,0.200,0.223,1.000,0.361,0.268
11,0.324,0.246,0.303,0.301,0.282,0.162,0.148,0.314,0.216,0.244,0.367,1.000,0.275
12,0.170,0.293,0.322,0.277,0.263,0.220,0.202,0.203,0.260,0.212,0.256,0.242,1.000
