,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.213,0.178,0.267,0.245,0.118,0.113,0.151,0.171,0.169,0.216,0.178,0.157
1,0.203,1.000,0.336,0.397,0.232,0.163,0.063,0.191,0.228,0.220,0.313,0.272,0.249
2,0.155,0.330,1.000,0.330,0.165,0.173,0.038,0.172,0.193,0.212,0.268,0.334,0.327
3,0.264,0.403,0.353,1.000,0.265,0.154,0.109,0.176,0.210,0.223,0.357,0.317,0.275
4,0.245,0.242,0.188,0.266,1.000,0.208,0.104,0.276,0.253,0.260,0.203,0.169,0.152
5,0.098,0.157,0.172,0.139,0.174,1.000,0.025,0.224,0.182,0.238,0.139,0.136,0.157
6,0.158,0.133,0.116,0.178,0.148,0.092,1.000,0.092,0.123,0.115,0.167,0.138,0.124
7,0.137,0.190,0.172,0.169,0.253,0.227,0.035,1.000,0.248,0.280,0.156,0.151,0.161
8,0.160,0.228,0.195,0.206,0.238,0.187,0.053,0.249,1.000,0.259,0.178,0.178,0.162
9,0.156,0.220,0.213,0.216,0.242,0.242,0.047,0.280,0.259,1.000,0.184,0.185,0.182
10,0.211,0.314,0.279,0.356,0.199,0.148,0.091,0.159,0.179,0.187,1.000,0.403,0.329
11,0.165,0.271,0.336,0.308,0.158,0.139,0.057,0.152,0.178,0.185,0.399,1.000,0.420
12,0.135,0.243,0.327,0.254,0.132,0.157,0.038,0.160,0.159,0.180,0.314,0.416,1.000
