,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.293,0.313,0.317,0.351,0.137,0.173,0.222,0.270,0.173,0.265,0.315,0.280
1,0.286,1.000,0.582,0.588,0.331,0.113,0.142,0.277,0.348,0.231,0.315,0.371,0.363
2,0.305,0.582,1.000,0.670,0.288,0.098,0.119,0.255,0.305,0.217,0.389,0.448,0.399
3,0.311,0.588,0.671,1.000,0.306,0.102,0.126,0.251,0.312,0.218,0.367,0.429,0.396
4,0.355,0.355,0.310,0.324,1.000,0.213,0.245,0.306,0.309,0.220,0.251,0.301,0.284
5,0.164,0.166,0.144,0.143,0.234,1.000,0.253,0.143,0.141,0.098,0.118,0.141,0.124
6,0.188,0.177,0.149,0.153,0.253,0.249,1.000,0.139,0.146,0.110,0.124,0.148,0.142
7,0.203,0.272,0.250,0.245,0.256,0.076,0.093,1.000,0.368,0.371,0.258,0.265,0.270
8,0.255,0.346,0.304,0.309,0.273,0.084,0.106,0.369,1.000,0.305,0.275,0.339,0.345
9,0.135,0.209,0.196,0.194,0.147,0.033,0.051,0.360,0.288,1.000,0.212,0.212,0.221
10,0.243,0.310,0.383,0.358,0.211,0.063,0.083,0.258,0.275,0.219,1.000,0.496,0.453
11,0.303,0.370,0.448,0.427,0.273,0.091,0.113,0.267,0.339,0.229,0.500,1.000,0.502
12,0.264,0.360,0.397,0.392,0.249,0.073,0.102,0.271,0.345,0.232,0.454,0.501,1.000
