,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.196,0.240,0.195,0.336,0.189,0.241,0.184,0.094,0.163,0.282,0.299,0.353
1,0.138,1.000,0.414,0.398,0.228,0.259,0.275,0.224,0.143,0.206,0.221,0.229,0.124
2,0.194,0.418,1.000,0.406,0.267,0.242,0.274,0.248,0.187,0.214,0.280,0.290,0.163
3,0.128,0.398,0.397,1.000,0.203,0.222,0.231,0.204,0.139,0.195,0.203,0.215,0.100
4,0.328,0.269,0.290,0.251,1.000,0.249,0.317,0.269,0.152,0.214,0.407,0.399,0.351
5,0.135,0.259,0.240,0.223,0.213,1.000,0.269,0.237,0.197,0.260,0.215,0.229,0.108
6,0.194,0.277,0.274,0.236,0.291,0.271,1.000,0.297,0.196,0.236,0.219,0.238,0.166
7,0.153,0.228,0.248,0.210,0.252,0.240,0.297,1.000,0.240,0.313,0.241,0.265,0.133
8,0.071,0.144,0.187,0.140,0.133,0.197,0.195,0.238,1.000,0.203,0.167,0.152,0.101
9,0.123,0.206,0.213,0.196,0.189,0.261,0.236,0.311,0.203,1.000,0.187,0.217,0.113
10,0.276,0.260,0.303,0.251,0.407,0.251,0.239,0.257,0.189,0.210,1.000,0.512,0.308
11,0.285,0.257,0.304,0.250,0.398,0.254,0.250,0.275,0.165,0.234,0.511,1.000,0.315
12,0.354,0.190,0.214,0.166,0.366,0.162,0.219,0.169,0.145,0.159,0.321,0.339,1.000
