,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.264,0.263,0.211,0.291,0.221,0.300,0.180,0.163,0.193,0.212,0.236,0.228
1,0.225,1.000,0.624,0.492,0.342,0.302,0.330,0.270,0.280,0.276,0.381,0.413,0.331
2,0.229,0.624,1.000,0.519,0.338,0.279,0.390,0.217,0.238,0.241,0.383,0.375,0.339
3,0.166,0.489,0.514,1.000,0.244,0.231,0.297,0.230,0.256,0.253,0.348,0.298,0.295
4,0.280,0.354,0.347,0.262,1.000,0.349,0.453,0.247,0.240,0.267,0.268,0.310,0.271
5,0.183,0.301,0.278,0.232,0.333,1.000,0.289,0.295,0.268,0.317,0.266,0.303,0.270
6,0.288,0.340,0.399,0.318,0.453,0.303,1.000,0.230,0.216,0.261,0.321,0.352,0.273
7,0.120,0.260,0.207,0.227,0.210,0.287,0.197,1.000,0.278,0.350,0.262,0.251,0.257
8,0.095,0.259,0.217,0.246,0.189,0.252,0.171,0.276,1.000,0.315,0.260,0.212,0.229
9,0.134,0.269,0.232,0.251,0.233,0.311,0.229,0.350,0.318,1.000,0.261,0.261,0.266
10,0.163,0.378,0.378,0.348,0.247,0.265,0.297,0.264,0.268,0.262,1.000,0.514,0.358
11,0.198,0.413,0.374,0.299,0.298,0.303,0.339,0.259,0.227,0.267,0.517,1.000,0.350
12,0.163,0.324,0.330,0.293,0.240,0.267,0.243,0.257,0.233,0.266,0.357,0.345,1.000
