,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.252,0.286,0.283,0.295,0.250,0.202,0.191,0.242,0.205,0.326,0.216,0.245
1,0.252,1.000,0.469,0.480,0.376,0.287,0.229,0.220,0.294,0.276,0.375,0.274,0.306
2,0.283,0.468,1.000,0.543,0.383,0.334,0.270,0.253,0.317,0.303,0.380,0.308,0.383
3,0.280,0.478,0.543,1.000,0.377,0.368,0.267,0.273,0.339,0.316,0.374,0.332,0.359
4,0.297,0.381,0.394,0.391,1.000,0.328,0.273,0.271,0.345,0.335,0.416,0.283,0.322
5,0.246,0.285,0.334,0.368,0.316,1.000,0.269,0.292,0.362,0.319,0.293,0.252,0.275
6,0.184,0.214,0.260,0.259,0.236,0.262,1.000,0.301,0.307,0.347,0.235,0.245,0.258
7,0.168,0.200,0.238,0.260,0.224,0.279,0.300,1.000,0.321,0.344,0.198,0.224,0.218
8,0.232,0.286,0.314,0.336,0.319,0.360,0.309,0.327,1.000,0.374,0.279,0.295,0.311
9,0.193,0.265,0.298,0.312,0.302,0.315,0.347,0.348,0.374,1.000,0.264,0.266,0.281
10,0.326,0.376,0.384,0.380,0.414,0.298,0.258,0.226,0.292,0.281,1.000,0.348,0.413
11,0.203,0.263,0.302,0.327,0.254,0.248,0.245,0.226,0.294,0.266,0.326,1.000,0.382
12,0.240,0.302,0.382,0.359,0.307,0.275,0.263,0.226,0.312,0.283,0.403,0.386,1.000
