,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.194,0.239,0.267,0.311,0.187,0.298,0.229,0.102,0.258,0.246,0.337,0.259
1,0.098,1.000,0.405,0.372,0.126,0.210,0.175,0.149,0.161,0.155,0.260,0.216,0.244
2,0.132,0.406,1.000,0.367,0.168,0.221,0.194,0.150,0.136,0.153,0.253,0.258,0.282
3,0.201,0.392,0.379,1.000,0.233,0.212,0.261,0.202,0.149,0.229,0.268,0.350,0.316
4,0.301,0.179,0.226,0.259,1.000,0.224,0.407,0.266,0.151,0.321,0.246,0.309,0.242
5,0.126,0.215,0.223,0.211,0.189,1.000,0.261,0.249,0.218,0.247,0.237,0.217,0.249
6,0.281,0.228,0.240,0.279,0.406,0.293,1.000,0.353,0.155,0.413,0.291,0.325,0.272
7,0.206,0.179,0.173,0.208,0.261,0.266,0.351,1.000,0.165,0.381,0.295,0.279,0.237
8,0.034,0.157,0.131,0.127,0.080,0.198,0.094,0.113,1.000,0.099,0.116,0.106,0.139
9,0.243,0.202,0.190,0.245,0.319,0.277,0.413,0.383,0.164,1.000,0.274,0.288,0.241
10,0.197,0.282,0.268,0.268,0.229,0.241,0.279,0.291,0.144,0.263,1.000,0.478,0.463
11,0.300,0.256,0.295,0.360,0.302,0.230,0.323,0.279,0.152,0.286,0.484,1.000,0.532
12,0.195,0.257,0.291,0.316,0.218,0.250,0.255,0.230,0.163,0.226,0.462,0.518,1.000
