,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.242,0.228,0.293,0.110,0.341,0.280,0.154,0.242,0.229,0.365,0.342,0.341
1,0.212,1.000,0.481,0.364,0.183,0.278,0.217,0.223,0.286,0.281,0.264,0.206,0.263
2,0.205,0.481,1.000,0.416,0.179,0.275,0.209,0.247,0.264,0.280,0.305,0.239,0.288
3,0.285,0.375,0.424,1.000,0.150,0.340,0.257,0.210,0.291,0.318,0.382,0.329,0.340
4,0.060,0.162,0.154,0.110,1.000,0.081,0.082,0.121,0.141,0.126,0.078,0.048,0.069
5,0.341,0.327,0.314,0.355,0.160,1.000,0.444,0.222,0.339,0.385,0.454,0.391,0.477
6,0.280,0.253,0.237,0.267,0.158,0.444,1.000,0.284,0.349,0.348,0.450,0.325,0.433
7,0.140,0.224,0.247,0.207,0.141,0.196,0.252,1.000,0.251,0.287,0.214,0.153,0.196
8,0.230,0.290,0.266,0.291,0.181,0.317,0.328,0.253,1.000,0.383,0.284,0.246,0.279
9,0.224,0.292,0.287,0.318,0.176,0.372,0.338,0.294,0.384,1.000,0.341,0.252,0.337
10,0.366,0.312,0.351,0.400,0.156,0.454,0.450,0.244,0.305,0.354,1.000,0.580,0.703
11,0.347,0.268,0.298,0.361,0.119,0.394,0.328,0.189,0.280,0.274,0.583,1.000,0.560
12,0.343,0.321,0.339,0.361,0.150,0.477,0.434,0.229,0.305,0.355,0.704,0.558,1.000
