,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.351,0.274,0.437,0.301,0.269,0.179,0.286,0.211,0.289,0.317,0.355,0.314
1,0.338,1.000,0.418,0.579,0.316,0.312,0.244,0.353,0.262,0.344,0.382,0.392,0.404
2,0.228,0.399,1.000,0.389,0.189,0.225,0.226,0.232,0.203,0.231,0.260,0.255,0.274
3,0.434,0.585,0.435,1.000,0.343,0.287,0.216,0.328,0.235,0.326,0.343,0.428,0.375
4,0.300,0.320,0.213,0.343,1.000,0.318,0.246,0.325,0.261,0.346,0.313,0.353,0.341
5,0.252,0.311,0.231,0.280,0.309,1.000,0.257,0.306,0.333,0.304,0.347,0.306,0.344
6,0.141,0.226,0.225,0.185,0.209,0.246,1.000,0.232,0.218,0.227,0.211,0.169,0.213
7,0.276,0.353,0.243,0.325,0.320,0.307,0.250,1.000,0.276,0.407,0.332,0.325,0.336
8,0.193,0.260,0.206,0.225,0.249,0.332,0.224,0.274,1.000,0.268,0.286,0.265,0.319
9,0.282,0.344,0.247,0.324,0.344,0.306,0.250,0.407,0.273,1.000,0.374,0.337,0.349
10,0.307,0.382,0.274,0.340,0.309,0.349,0.228,0.332,0.289,0.373,1.000,0.421,0.453
11,0.354,0.398,0.289,0.428,0.353,0.316,0.200,0.330,0.279,0.339,0.427,1.000,0.469
12,0.303,0.404,0.288,0.372,0.336,0.345,0.230,0.336,0.322,0.348,0.453,0.462,1.000
