,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.309,0.289,0.360,0.219,0.297,0.176,0.342,0.324,0.341,0.306,0.256,0.245
1,0.290,1.000,0.568,0.530,0.272,0.273,0.240,0.295,0.266,0.287,0.272,0.325,0.361
2,0.273,0.568,1.000,0.517,0.254,0.263,0.240,0.288,0.249,0.271,0.248,0.320,0.345
3,0.356,0.538,0.523,1.000,0.282,0.355,0.237,0.347,0.305,0.358,0.357,0.441,0.393
4,0.193,0.270,0.251,0.268,1.000,0.277,0.370,0.259,0.237,0.251,0.214,0.241,0.243
5,0.296,0.284,0.273,0.356,0.303,1.000,0.241,0.456,0.411,0.408,0.456,0.390,0.325
6,0.145,0.233,0.233,0.217,0.368,0.208,1.000,0.208,0.194,0.208,0.156,0.197,0.223
7,0.342,0.310,0.300,0.350,0.287,0.456,0.244,1.000,0.458,0.495,0.420,0.350,0.318
8,0.324,0.282,0.261,0.308,0.266,0.412,0.232,0.458,1.000,0.503,0.351,0.289,0.256
9,0.341,0.302,0.284,0.361,0.279,0.408,0.246,0.495,0.503,1.000,0.416,0.331,0.307
10,0.307,0.300,0.271,0.367,0.254,0.460,0.200,0.422,0.353,0.418,1.000,0.449,0.371
11,0.250,0.328,0.322,0.440,0.250,0.386,0.212,0.346,0.284,0.326,0.431,1.000,0.511
12,0.235,0.362,0.345,0.390,0.248,0.318,0.233,0.309,0.247,0.297,0.346,0.509,1.000
