,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.266,0.349,0.321,0.165,0.174,0.265,0.148,0.256,0.161,0.296,0.377,0.296
1,0.231,1.000,0.551,0.541,0.236,0.243,0.259,0.190,0.274,0.217,0.284,0.297,0.379
2,0.321,0.553,1.000,0.494,0.213,0.227,0.274,0.198,0.312,0.204,0.385,0.362,0.452
3,0.280,0.541,0.492,1.000,0.213,0.224,0.234,0.177,0.247,0.189,0.321,0.296,0.391
4,0.113,0.227,0.198,0.204,1.000,0.313,0.197,0.242,0.241,0.266,0.162,0.147,0.186
5,0.140,0.242,0.222,0.222,0.317,1.000,0.289,0.224,0.312,0.277,0.173,0.181,0.191
6,0.256,0.267,0.277,0.241,0.230,0.310,1.000,0.222,0.446,0.286,0.295,0.315,0.287
7,0.094,0.178,0.177,0.165,0.242,0.218,0.181,1.000,0.281,0.268,0.151,0.130,0.157
8,0.239,0.277,0.312,0.249,0.265,0.323,0.444,0.321,1.000,0.337,0.305,0.327,0.304
9,0.119,0.213,0.194,0.185,0.267,0.276,0.255,0.271,0.316,1.000,0.167,0.162,0.184
10,0.284,0.291,0.387,0.328,0.185,0.184,0.295,0.181,0.305,0.184,1.000,0.516,0.511
11,0.376,0.325,0.380,0.322,0.195,0.211,0.319,0.184,0.339,0.202,0.525,1.000,0.465
12,0.280,0.385,0.453,0.396,0.208,0.200,0.286,0.183,0.304,0.199,0.511,0.453,1.000
