,original_program,Claude_PS2,Claude_PS7,Claude_PS9,GPT_PS2,GPT_PS7,GPT_PS9,Copilot_PS2,Copilot_PS7,Copilot_PS9,DeepSeek_PS2,DeepSeek_PS7,DeepSeek_PS9
0,1.0,0.218,0.250,0.131,0.205,0.129,0.236,0.118,0.143,0.131,0.195,0.272,0.203
1,0.185,1.000,0.398,0.182,0.154,0.214,0.134,0.211,0.200,0.182,0.298,0.290,0.294
2,0.230,0.401,1.000,0.171,0.179,0.210,0.157,0.195,0.192,0.171,0.300,0.347,0.325
3,0.092,0.177,0.160,1.000,0.117,0.266,0.091,0.219,0.284,1.000,0.167,0.144,0.172
4,0.205,0.181,0.194,0.166,1.000,0.195,0.314,0.197,0.187,0.166,0.231,0.232,0.239
5,0.102,0.213,0.204,0.268,0.155,1.000,0.117,0.261,0.225,0.268,0.200,0.167,0.212
6,0.242,0.190,0.195,0.173,0.322,0.187,1.000,0.188,0.184,0.173,0.188,0.243,0.195
7,0.100,0.211,0.193,0.224,0.167,0.262,0.131,1.000,0.265,0.224,0.184,0.163,0.178
8,0.123,0.200,0.190,0.292,0.161,0.226,0.132,0.265,1.000,0.292,0.198,0.186,0.182
9,0.092,0.177,0.160,1.000,0.117,0.266,0.091,0.219,0.284,1.000,0.167,0.144,0.172
10,0.180,0.301,0.300,0.179,0.213,0.206,0.151,0.186,0.199,0.179,1.000,0.351,0.468
11,0.267,0.308,0.354,0.172,0.227,0.186,0.221,0.173,0.197,0.172,0.358,1.000,0.436
12,0.187,0.297,0.325,0.184,0.220,0.218,0.157,0.180,0.184,0.184,0.468,0.428,1.000
